Index,V1,V2,Noise,class
231,396,339,351,0.0
232,384,357,353,
233,361,366,347,
234,352,362,347,
235,348,350,343,
236,355,344,364,
237,350,356,356,
238,357,351,360,
239,347,360,351,
240,365,366,354,
241,375,362,365,
242,328,343,339,
243,352,346,356,
244,389,338,349,
245,375,333,352,
246,326,367,358,
247,361,360,348,
248,371,363,357,
249,331,366,353,
250,328,358,356,
251,387,359,352,
252,332,359,352,
253,104,362,350,
254,7,362,348,
255,247,359,356,
256,387,359,353,
257,430,359,356,
258,458,359,357,
259,475,359,356,
260,430,359,354,
261,341,359,351,
262,261,359,350,
263,204,359,349,
264,140,365,358,
265,119,369,380,
266,186,416,411,
267,303,477,443,
268,386,467,430,
269,426,422,406,
270,438,388,368,
271,378,349,361,
272,358,352,374,
273,353,388,381,
274,295,408,413,
275,278,424,409,
276,318,434,423,
277,350,422,407,
278,314,414,398,
279,347,396,399,
280,376,390,421,
281,344,407,408,
282,340,399,406,
283,348,399,396,
284,340,380,382,
285,342,368,382,
286,371,369,362,
287,362,368,369,
288,356,376,373,
289,381,375,398,
290,392,389,378,
291,406,396,391,
292,389,387,382,
293,371,380,372,
294,376,363,359,
295,382,360,363,
296,374,375,363,
297,407,368,363,
298,414,357,383,
299,361,355,378,
300,372,372,383,
